Company Name,Company Type,SPCIQ Key,Table Type,HOLDER,COMMON_STOCK_EQUIVALENT_HELD__ACTUAL_,PERCENT_OF_COMMON_SHARES_OUTSTANDING____,MARKET_VALUE___M_,CHANGE_IN_SHARES__ACTUAL_,CHANGE____,POSITION_DATE,SOURCE,PORTFOLIO_TURNOVER_CATEGORY,PORTFOLIO_TURNOVER____,INVESTMENT_ORIENTATION,EQUITY_ASSETS___M_,CITY,STATE,COUNTRY,CALCULATED_INVESTMENT_STYLE,CALCULATED_MARKET_CAP_EMPHASIS,OWNER_TYPE,FUNDS,DERIVATIVES_EX__60_DAYS,INSTITUTION_IS_AN_ACTIVIST_
"Chengxin Lithium Group Co., Ltd. - 深圳盛新锂能集团股份有限公司",Public,45316580,Shareholders,Tianhong Asset Management Co. Ltd.,"1,019,500",0.11,1.9,0,,6/30/2024,Aggregated Mutual Funds,Low,24.5,Active,"2,120.49",Tianjin,,China,GARP,Large Cap,Traditional Investment Managers,5.0,,No
Pluspetrol Resources Corporation B.V.,Private,8174863,No Table Found,,,,,,,,,,,,,,,,,,,,,
Galileo Resources Plc,Public,140075966,Shareholders,Colin Bird Executive Chairman,"81,705,862",7.02,0.9,"2,250,000",2.83,10/24/2024,Exchange Announcement,,,,,Dubai,,United Kingdom,,,Individuals/Insiders,,,No
Galileo Resources Plc,Public,140075966,Shareholders,Barclays Bank PLC,"64,795,348",5.57,0.7,"4,705,804",7.83,10/1/2024,UK Share Register,Moderate,55.28,Active,"85,367.50",London,,United Kingdom,Growth,Large Cap,Traditional Investment Managers,,,No
Galileo Resources Plc,Public,140075966,Shareholders,HBOS Investment Fund Managers Ltd.,"57,673,401",4.96,0.6,"-6,702,985",-10.41,10/1/2024,UK Share Register,,,Active,,Bristol,,United Kingdom,Unclassified,,Traditional Investment Managers,,,No
Galileo Resources Plc,Public,140075966,Shareholders,IG Group Holdings PLC,"50,095,699",4.31,0.6,"-1,282,204",-2.50,10/1/2024,UK Share Register,,,,,London,,United Kingdom,Unclassified,,Banks/Investment Banks,,,No
Galileo Resources Plc,Public,140075966,Shareholders,Fergus Kynaston Forbes,"50,000,000",4.3,0.6,0,,10/1/2024,UK Share Register,,,,,,,,,,Individuals/Insiders,,,No
Galileo Resources Plc,Public,140075966,Shareholders,Sandfire Resources Ltd.,"41,100,124",3.53,0.5,0,,10/1/2024,UK Share Register,,,,,West Perth,WA,Australia,Unclassified,,Corporations (Public),,,No
Galileo Resources Plc,Public,140075966,Shareholders,C. W. Powell,"35,320,303",3.04,0.4,0,,10/1/2024,UK Share Register,,,,,,,,,,Individuals/Insiders,,,No
Galileo Resources Plc,Public,140075966,Shareholders,London Wealth Management Ltd,"31,605,870",2.72,0.3,"-2,004,027",-5.96,10/1/2024,UK Share Register,,,,,London,,United Kingdom,Unclassified,,Traditional Investment Managers,,,No
Galileo Resources Plc,Public,140075966,Shareholders,HSBC Global Asset Management (UK) Ltd.,"29,004,620",2.49,0.3,"987,350",3.52,10/1/2024,UK Share Register,Low,23.21,Passive,"290,183.32",London,,United Kingdom,Growth,Large Cap,Traditional Investment Managers,,,No
Galileo Resources Plc,Public,140075966,Shareholders,Goy Harris Cartwright,"19,588,000",1.68,0.2,"-875,000",-4.28,10/1/2024,UK Share Register,Low,20.07,Active,19.62,Leicester,,United Kingdom,Blend,Small Cap,Traditional Investment Managers,,,No
Galileo Resources Plc,Public,140075966,Shareholders,Charles Stanley & Co. Ltd.,"18,888,802",1.62,0.2,"-130,000",-0.68,10/1/2024,UK Share Register,Very Low,5.73,Active,"15,016.59",London,,United Kingdom,Value,Large Cap,Traditional Investment Managers,,,No
